CustomerID,Recency,Frequency,Monetary,Cluster,DistanceToCentroid
12346,326,1,77183.6,0,4.1539733300389985
12747,3,11,4196.01,2,0.7685124222222134
12748,1,206,31650.78,2,4.676352433963513
12749,4,5,4040.88,2,1.175286168270717
12820,4,4,942.34,0,1.37992200058232
12821,215,1,92.72,1,0.9467120435721678
12822,71,2,948.88,0,0.8398935533678905
12823,75,5,1759.5,0,1.0444157633757338
12824,60,1,397.12,1,0.68602972235356
12826,3,7,1474.72,2,1.2778356101783164
12827,6,3,430.15,0,1.2558068075720639
12828,3,6,1018.71,2,1.576824622727119
12829,337,2,293.0,1,0.8447591703699024
12830,38,6,6814.64,2,1.313028512407954
12831,263,1,215.05,1,0.6077225759471026
12832,33,2,383.03,0,0.8598833942404837
12833,146,1,417.38,1,0.4286743100914826
12834,283,1,312.38,1,0.6519059318480315
12836,60,4,2610.36,0,1.0438682810506403
12837,174,1,134.1,1,0.6233606189090821
12838,34,2,671.95,0,0.5601199260894721
12839,3,14,5591.42,2,0.8707202833072363
12840,144,4,2726.77,0,1.5271799899300162
12841,5,25,3991.58,2,1.2294496243431394
12842,71,2,1118.99,0,0.8541670554650166
12843,66,8,1702.26,0,1.387262968502364
12844,30,2,325.96,0,0.9628779930699763
12845,268,4,354.09,1,1.3014084883961092
12847,23,1,843.64,0,1.089437051832347
12849,32,2,992.65,0,0.4936126411887896
12851,97,1,131.81,1,0.6251721096311651
12852,295,1,311.55,1,0.681072624754224
12853,135,6,1957.1,0,1.526079639355373
12854,79,3,1316.25,0,0.8227916357558408
12855,373,1,38.1,1,1.7542858492045468
12856,8,6,2170.78,2,0.9550377684938487
12857,211,2,1106.4,1,1.275835940124664
12863,53,1,521.2,1,0.8809262612463455
12864,139,1,147.12,1,0.5120774066463165
12867,27,7,4009.34,2,0.9315932197036978
12868,186,6,1607.06,0,1.6714303619835678
12871,85,2,380.64,1,0.5824289019884131
12872,327,2,599.97,1,1.0518541673600652
12873,283,1,374.0,1,0.6961673967637576
12875,144,2,343.23,1,0.4599569375527762
12877,4,12,1535.77,2,1.006945515703688
12878,237,2,854.99,1,1.1269560169018131
12879,45,3,573.22,0,0.516511445084893
12881,276,1,298.0,1,0.6272417070193939
12882,10,2,1463.04,0,0.966061707703154
12883,25,4,703.47,0,0.35617232114217123
12884,89,1,309.05,1,0.35876724631420953
12885,64,3,1175.22,0,0.6433008180566345
12886,68,2,1378.4,0,0.8756225895168235
12888,215,2,354.12,1,0.6100170223834054
12890,25,1,376.72,1,1.2708358146963674
12891,186,3,331.0,1,0.8882604467275151
12893,31,1,176.55,1,1.129007595692562
12895,43,2,372.8,0,0.9242299857829803
12897,205,2,216.5,1,0.5610343562416152
12901,9,28,17654.54,2,1.745917773157154
12902,265,1,138.68,1,0.7838151462863532
12904,19,2,496.06,0,0.750430712095753
12906,12,5,2919.81,2,1.0593813379735495
12908,177,2,750.0,1,0.9604072272970561
12909,40,5,2178.67,0,0.9130416336785098
12910,24,8,3075.04,2,0.7965682488773708
12912,3,5,1662.3,2,1.4689203696763429
12913,5,5,2483.63,2,1.1854437945698593
12915,149,2,363.65,1,0.48850976670729507
12916,139,4,2944.95,0,1.54247579288715
12917,129,1,594.0,1,0.6792132598827156
12919,9,6,1335.19,0,1.1610114463722905
12920,18,1,162.78,1,1.5260685255341444
12921,10,37,16587.09,2,2.0295196634462402
12922,162,1,405.38,1,0.4355007445396621
12923,65,1,171.57,1,0.6464969574348264
12924,89,4,925.75,0,0.8996131755994339
12925,5,2,694.05,0,1.3252876843536485
12928,36,5,2062.7,0,0.8604815951902849
12929,312,1,117.85,1,0.9588215834457773
12930,79,2,415.8,1,0.6502813562359127
12931,22,15,42055.96,2,1.9927517540748576
12933,25,3,607.53,0,0.35057726668447026
12935,3,7,2160.7,2,1.1023767061347123
12936,18,4,1063.9,0,0.44244937454050515
12937,16,4,1504.27,0,0.6340929353874081
12938,26,1,114.14,1,1.3836012310685206
12939,65,8,11581.8,2,1.6577425111173814
12940,55,2,899.69,0,0.6910225136426789
12942,132,3,675.6,1,1.1145992627510737
12944,36,2,604.51,0,0.6141328346716579
12945,289,1,462.95,1,0.7931627744648516
12947,144,6,1603.99,0,1.5092988311514863
12948,17,7,2064.95,2,0.9004537860868714
12949,31,8,4167.22,2,0.9224116114031745
12950,3,3,1843.0,0,1.6243959686342682
12951,9,6,1064.07,0,1.1278168023375634
12952,6,4,1387.79,0,1.1757235675767872
12953,10,1,329.85,0,1.5488830931509878
12955,2,11,4757.16,2,0.994532069064251
12956,307,1,108.07,1,0.9983126695508746
12957,10,8,4017.54,2,0.41757195648597434
12962,8,2,266.39,0,1.4273735137148058
12963,9,8,1856.63,2,0.7736745962846535
12965,90,1,769.81,1,0.9193047319325214
12966,10,1,160.18,0,1.919926839773082
12967,359,2,1660.9,1,1.7204617161432962
12968,113,1,135.95,1,0.5739128335823267
12970,8,4,405.47,0,1.1494156101649988
12971,4,86,11189.91,2,3.078471184814349
12974,198,1,144.8,1,0.6180646089044692
12976,212,1,738.6,1,0.9321788110361285
12977,157,1,39.24,1,1.537350405620639
12980,158,9,7374.9,2,2.1172937650738524
12981,30,2,372.22,0,0.8724503522949283
12982,243,1,390.54,1,0.614566989214133
12984,19,1,97.5,1,1.6431067234458852
12985,1,2,1239.38,0,2.123859482001795
12987,74,2,558.7,1,0.8305994500838829
12988,293,1,505.82,1,0.8433937389040668
12989,4,15,6924.11,2,0.8416232092004527
12990,32,3,409.5,0,0.6587891872521245
12991,24,2,503.76,0,0.6930406090060673
12993,24,4,414.76,0,0.7042178184915968
12994,5,3,974.42,0,1.216212008208341
12995,86,1,211.32,1,0.39954505911604743
12997,23,4,1226.89,0,0.3860285595811701
12999,197,3,455.88,1,0.9873628126123427
13000,107,3,534.85,1,1.0058951784395902
13001,5,13,9785.97,2,0.8586200490479862
13002,319,1,120.95,1,0.9572799054592441
13003,106,3,149.05,1,0.9503748556405435
13004,12,18,5655.91,2,0.7358439481573532
13005,174,2,513.7,1,0.7067099129086563
13006,57,1,81.57,1,1.1356971480112554
13008,324,1,229.47,1,0.7453454175370143
13011,373,1,50.55,1,1.5627839055006476
13012,10,8,1646.84,2,0.8534565018945983
13013,2,13,4810.94,2,1.0221837877085784
13014,11,10,3466.28,2,0.2039491949465891
13015,54,5,3339.64,0,1.2624263670998512
13016,74,3,789.89,0,0.7318116234427609
13017,8,1,204.0,0,1.8534257090768047
13018,17,28,7277.7,2,1.428529401453558
13021,5,9,2616.38,2,0.6460741075161464
13023,65,2,599.9,0,0.8576103240412665
13026,2,5,975.36,0,1.8254701738075558
13027,114,6,6912.0,2,2.0077094544649046
13028,23,2,661.32,0,0.5703553216131277
13029,31,3,1247.5,0,0.2607105787736921
13030,12,2,752.44,0,0.8029844562883379
13032,53,2,1010.18,0,0.6753193064901957
13033,358,1,190.55,1,0.8515664471090751
13034,55,2,642.77,0,0.7483853297002365
13035,74,2,921.88,0,0.865306329754112
13037,139,3,881.07,0,1.1987198656275575
13038,81,3,908.46,0,0.7896551218531387
13040,9,2,676.99,0,0.9846539914556058
13043,274,1,516.42,1,0.816570239564649
13044,292,1,560.47,1,0.8947877156133556
13045,100,1,305.28,1,0.2932802506165356
13046,31,2,629.31,0,0.5737104270930521
13047,57,9,3232.59,2,1.320319888480004
13048,15,4,1819.41,0,0.766267579612332
13049,65,2,656.68,0,0.8312052307917039
13050,15,17,5833.11,2,0.7214033193684135
13052,213,1,348.15,1,0.4898299146932784
13055,79,3,1214.41,0,0.8024325560676581
13058,25,3,271.4,0,0.9857414541050533
13059,250,1,183.4,1,0.6216402892669786
13060,254,1,307.53,1,0.5731527445996311
13061,73,1,248.61,1,0.4683445224168953
13062,192,1,346.98,1,0.42812080960653864
13064,13,4,1105.59,0,0.643132510331164
13065,374,1,205.86,1,0.8661581444563959
13066,25,2,470.8,0,0.727585310935399
13067,83,1,115.46,1,0.7631399171811393
13068,11,2,344.0,0,1.1498951219254918
13069,1,24,4431.44,2,1.6918665445295564
13070,193,1,228.8,1,0.38883630674570974
13072,267,1,177.15,1,0.6762543332683587
13075,130,1,919.61,1,1.0203985496315817
13077,2,4,728.02,0,1.7748697241582647
13078,4,26,12627.94,2,1.6078018258487026
13079,5,5,220.1,0,1.7543194389787344
13080,180,1,58.08,1,1.2512731412729288
13081,12,11,28337.38,2,1.5490913016372672
13082,127,9,3613.63,2,1.9054049648835745
13083,5,2,303.75,0,1.5799603457689695
13085,158,2,416.08,1,0.5641400364713932
13089,3,97,58762.08,2,3.82907979013893
13090,9,13,8895.82,2,0.6573904348608691
13091,29,1,345.82,1,1.150999174201101
13092,71,5,477.83,0,1.0183751618522996
13093,276,8,7832.47,2,2.560672752858335
13094,22,12,1927.32,2,0.8501502399033598
13095,71,1,74.4,1,1.1216774351613719
13097,33,10,6003.22,2,0.9261903190568077
13098,2,28,28882.44,2,2.257988851707861
13099,100,1,207.36,1,0.3318738855686691
13101,235,1,101.19,1,0.9182265440243266
13102,2,24,6424.09,2,1.5073882018058542
13103,40,1,243.94,1,0.8983527760834171
13104,4,6,1098.48,2,1.455925514630121
13106,134,1,76.5,1,1.0093644513976812
13107,45,4,1531.62,0,0.5991417484861878
13108,373,1,350.06,1,0.8706207938744075
13109,60,2,786.54,0,0.7497733752678656
13110,32,7,1488.67,0,1.0373792988423363
13113,1,24,12245.96,2,1.9010856385284711
13115,12,4,2294.78,0,0.9995391282977711
13116,139,1,501.14,1,0.5538190774186311
13117,22,8,984.91,0,1.147526697981367
13118,20,5,1197.81,0,0.6304141668380948
13120,239,1,30.6,1,1.7873034635336305
13121,270,1,283.73,1,0.6065927138626248
13122,95,2,922.39,0,1.0276957125619415
13124,90,3,3756.33,0,1.4264004356962234
13126,5,8,2099.64,2,0.827942268587396
